case_id,ESR-mediated signaling (Reactome R-HSA-8939211),Nuclear Receptor transcription pathway (Reactome R-HSA-383280),Signaling by ERBB2 (Reactome R-HSA-1227986),Signaling by EGFR (Reactome R-HSA-177929),PIP3 activates AKT signaling (Reactome R-HSA-1257604),G2/M Transition (Reactome R-HSA-69275),Mitotic Spindle Checkpoint (Reactome R-HSA-69618),p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),DNA Double-Strand Break Repair (Reactome R-HSA-5693532),Adherens junctions interactions (Reactome R-HSA-418990),Tight junction interactions (Reactome R-HSA-420029),Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),Degradation of the extracellular matrix (Reactome R-HSA-1474228),Integrin cell surface interactions (Reactome R-HSA-216083),Collagen formation (Reactome R-HSA-1474290),TCR signaling (Reactome R-HSA-202403),Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),Interferon gamma signaling (Reactome R-HSA-877300),Co-inhibition by PD-1 (Reactome R-HSA-389948),Cellular response to hypoxia (Reactome R-HSA-1234174),RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),Signaling by BMP (Reactome R-HSA-201451)
TCGA-A2-A0CK,72.99569837374062,42.07776044941488,53.906961961312476,32.83383542255126,25.317305393386675,-17.526705834654095,-52.67354203380715,15.535223107750738,-17.238541835075424,80.26829584590416,25.987412807631472,30.511567147826952,-2.0276939171066886,23.111271242466586,89.30206606565261,-67.17504134403335,-76.81976194305702,15.961462879799797,-62.69882621469422,31.75187466603478,-4.740143864304599,-7.511446745368261
TCGA-A2-A0CL,69.69324890180391,29.014056906933973,28.086092963392474,13.460359124595868,32.06934379287347,1.3039123824591456,-50.98143980144303,-6.27971808795877,8.014272526008057,83.25281076748718,-18.15271547025408,10.914879154266544,9.260209534561795,22.751843147999637,89.61036175848474,-8.318053228079236,-30.965062189492897,65.44727130090808,-26.27531853489394,36.563543309155165,-28.286746301687913,-45.585921435813276
TCGA-A2-A0CM,35.100890202217784,3.2674351991558126,29.115100177986022,20.742479682578505,23.310269346075785,50.24494069974051,14.532688520737935,3.8303731002365,-1.3994386545524833,93.08844885239833,19.00928290971771,5.321714678397001,28.962440414321946,11.94316724015522,95.12059690379098,-53.97227531803772,-78.29594390594542,72.5393645266567,-53.83424641032428,9.039882523050352,-32.68290036925927,-33.943220647102976
TCGA-A2-A0CO,75.71176939026114,43.17480162535966,44.14792672538181,20.84794015769188,37.14003201800813,-81.91549760862694,-110.15390219601636,3.9735933603049887,-17.85495204397604,85.88509927724203,5.46147386053633,23.201250662664478,16.56962434507915,41.93908006518697,89.12431435707282,-30.32339242626857,-50.28123190147184,39.787648557801276,-42.32459710166103,44.008523467399925,-22.012158478875378,-24.397351391479532
TCGA-A2-A0CP,73.99669860040629,52.320533289915375,48.680291950338784,27.001847347312093,38.92213559451224,-76.01177948483493,-94.20751716200252,10.053318728744642,-9.680741733374617,94.0735740963514,5.3668827462858815,24.03064745588486,16.160076573384515,39.42101527464294,110.86948191281496,-76.57871298400376,-70.28427301567301,12.339664014299132,-69.07844233957697,31.76696224339642,-25.543213607888404,-14.028365790179521
TCGA-A2-A0CQ,75.94482078114942,47.468659078454834,48.46062620194084,22.16075981327623,27.534439452486907,-12.298336987274979,-44.44539746640416,8.72773513395856,1.3124552595109833,94.01668540316143,16.252997832219876,7.138619163926933,-15.32714270160713,42.13788334425266,87.66746364516894,-79.64308505675396,-70.61043410591265,9.890701229485757,-64.86077353750773,31.576725327574195,-14.728517775603734,-5.350600433109321
TCGA-A2-A0CR,51.76231708972705,21.7635949079164,33.23504323871839,15.555327979876921,17.295324897780176,-51.31948455993161,-76.84623589785728,9.888530958529543,-27.32090042455785,83.30980757219274,1.2729843145439474,11.606803145128964,25.41446663902488,19.927908866888117,85.69166003443794,20.1364880120787,-1.6181766020045814,55.877973557137665,12.420259347629951,16.573163932877236,-0.27635670860559003,-37.75225694793218
TCGA-A2-A0CS,84.4673124177879,56.070398562852574,42.13265414135361,18.79605810025069,18.42429524016714,-34.80460418886676,-70.68030151042201,8.865467520214054,1.7037573931397674,92.31091507771171,38.01311757150768,18.881384107685534,-1.2565488090619112,39.5875318291441,108.56777714770854,-83.70050247277722,-80.36323151390238,12.935287242210592,-61.1802401605152,30.665689660912705,-19.943469157928448,-28.38144436284969
TCGA-A2-A0CT,93.03212781825124,51.922474934015014,55.05889872252209,40.62586656362049,17.2062188338208,6.613465340947471,-33.66924919140783,2.3106827789184763,15.74292928683505,91.27937975264032,38.69909814734049,11.670552118453998,-17.27281770815705,8.703139835144214,94.94238269268573,-93.16669026333011,-79.50767330557971,-1.7039667430072427,-74.2342298714145,38.06326294813047,-38.80441455093717,-7.92350494809844
TCGA-A2-A0CU,88.37962391579225,53.27290762033354,61.976725732235906,29.360779930229683,19.972095033039807,-3.3426380113954224,-38.17730116725984,3.7716239711198796,4.691610397551727,104.52465989685535,22.38883667522603,15.907304728726587,-25.26954259246054,32.47135374976776,86.27239230196963,-85.32174415413729,-77.65293295653424,-6.246656207431329,-72.95312784906218,40.808554981655334,-35.694468720956024,-12.07786536196079
