task_name,task_type,num_train,num_val,num_test,metric_name,metric_value,missing_rate
Collagen formation (Reactome R-HSA-1474290),gene_program_regression,1894,405,406,MAE,0.7009225094024046,
TCR signaling (Reactome R-HSA-202403),gene_program_regression,1894,405,406,MAE,0.6341211890824783,
Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),gene_program_regression,1894,405,406,MAE,0.6797772304103192,
Interferon gamma signaling (Reactome R-HSA-877300),gene_program_regression,1894,405,406,MAE,0.6427979759550021,
Co-inhibition by PD-1 (Reactome R-HSA-389948),gene_program_regression,1894,405,406,MAE,0.62267752163986,
Cellular response to hypoxia (Reactome R-HSA-1234174),gene_program_regression,1894,405,406,MAE,0.770359062495423,
RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),gene_program_regression,1894,405,406,MAE,0.7837899563075216,
Signaling by BMP (Reactome R-HSA-201451),gene_program_regression,1894,405,406,MAE,0.7408198418578615,
ESR1,gene_expression_regression,1894,405,406,Pearson,0.5736022942575014,
ESR2,gene_expression_regression,1894,405,406,Pearson,0.3431507540518716,
HSP90AA1,gene_expression_regression,1894,405,406,Pearson,0.24857388719349144,
HSP90AB1,gene_expression_regression,1894,405,406,Pearson,0.3818510119632306,
HSP90B1,gene_expression_regression,1894,405,406,Pearson,0.34890199252169585,
NCOA1,gene_expression_regression,1894,405,406,Pearson,0.09711722053156009,
NCOA2,gene_expression_regression,1894,405,406,Pearson,0.15245831755973485,
NCOA3,gene_expression_regression,1894,405,406,Pearson,0.2433815743346471,
NCOR1,gene_expression_regression,1894,405,406,Pearson,0.23403876317737574,
NCOR2,gene_expression_regression,1894,405,406,Pearson,0.15945666463115676,
MED1,gene_expression_regression,1894,405,406,Pearson,0.1626032417596232,
EP300,gene_expression_regression,1894,405,406,Pearson,0.125466411897963,
CREBBP,gene_expression_regression,1894,405,406,Pearson,0.29094348938739395,
MAPK1,gene_expression_regression,1894,405,406,Pearson,0.10637494447208283,
MAPK3,gene_expression_regression,1894,405,406,Pearson,0.3507734049891541,
FOXA1,gene_expression_regression,1894,405,406,Pearson,0.6154432837164745,
GATA3,gene_expression_regression,1894,405,406,Pearson,0.5469642929610452,
PGR,gene_expression_regression,1894,405,406,Pearson,0.5293189186537213,
HDAC3,gene_expression_regression,1894,405,406,Pearson,0.025031296927430616,
RXRA,gene_expression_regression,1894,405,406,Pearson,0.33080900333084867,
ERBB2,gene_expression_regression,1894,405,406,Pearson,0.2544412800843333,
ERBB3,gene_expression_regression,1894,405,406,Pearson,0.42846235471455524,
ERBB4,gene_expression_regression,1894,405,406,Pearson,0.5907715137788272,
EGFR,gene_expression_regression,1894,405,406,Pearson,0.5082983193898916,
GRB2,gene_expression_regression,1894,405,406,Pearson,0.15503527872217276,
GRB7,gene_expression_regression,1894,405,406,Pearson,0.015668656167534843,
SHC1,gene_expression_regression,1894,405,406,Pearson,0.11128441174849651,
GAB1,gene_expression_regression,1894,405,406,Pearson,0.2991477703961969,
PIK3CA,gene_expression_regression,1894,405,406,Pearson,0.08228789496654895,
PIK3R1,gene_expression_regression,1894,405,406,Pearson,0.4140019363495327,
PLCG1,gene_expression_regression,1894,405,406,Pearson,0.21693258799860046,
SRC,gene_expression_regression,1894,405,406,Pearson,0.1820579030747217,
PTK6,gene_expression_regression,1894,405,406,Pearson,0.39471256723226333,
CDC37,gene_expression_regression,1894,405,406,Pearson,0.11915378692331811,
EGF,gene_expression_regression,1894,405,406,Pearson,0.21198150250830475,
TGFA,gene_expression_regression,1894,405,406,Pearson,0.3656402303155066,
SOS1,gene_expression_regression,1894,405,406,Pearson,0.25055827307944994,
SOS2,gene_expression_regression,1894,405,406,Pearson,0.17941346207651251,
KRAS,gene_expression_regression,1894,405,406,Pearson,0.018607322089839756,
